Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
4U1630-47 80117-01-02-01 6.50655174E+00 4.46471095E-01 4.47498530E-01 6.03754282E+00 1.01983881E+00 8.50395143E-01 8.84468609E-04 1.71592590E-04 1.49844855E-04 5.90256 1.25009346E+01 1.23745665E-01 1.37985066E-01 2.86446524E+00 3.99204254E-01 3.73350203E-01 5.24377800E-04 6.87573338E-05 7.00364835E-05 7.48721 - - - - - - - - - - - - - - - - - - - - C 0.0 3484.0
4U1630-47 80117-01-02-04 4.20554590E+00 5.99998474E-01 5.83103001E-01 8.56146717E+00 9.57073569E-01 8.36212456E-01 1.86821306E-03 2.38691326E-04 2.76538514E-04 6.75571 1.24906378E+01 9.05939937E-02 1.05311915E-01 1.85752344E+00 3.66901606E-01 3.28228056E-01 4.22958168E-04 6.10524075E-05 6.39645077E-05 6.61239 - - - - - - - - - - - - - - - - - - - - C 0.0 1632.0
4U1630-47 80117-01-04-00 6.58887625E+00 3.58347774E-01 3.90827596E-01 5.36824608E+00 7.02480733E-01 7.91516602E-01 1.02409860E-03 3.29204981E-04 2.80104607E-04 3.65613 1.14384975E+01 2.98585296E-02 3.05561274E-02 1.73063278E+00 9.49073657E-02 8.63968506E-02 8.40243651E-04 4.07406369E-05 3.78671066E-05 22.1893 - - - - - - - - - - - - - - - - - - - - C 0.0 4815.0
4U1630-47 80117-01-06-01 5.72544956E+00 1.78414762E-01 1.77414030E-01 4.29147959E+00 3.25454414E-01 3.31905395E-01 2.51631974E-03 1.96925350E-04 2.09068356E-04 12.0359 7.83029795E+00 3.82005647E-02 3.93886901E-02 7.60872304E-01 1.73951268E-01 1.39866203E-01 5.88231545E-04 1.09703644E-04 9.43331470E-05 6.23568 - - - - - - - - - - - - - - - - - - - - C 0.0 1071.0
4U1630-47 80117-01-07-00 5.66255713E+00 1.17767744E-01 1.37795553E-01 4.24427176E+00 2.03211725E-01 1.87485933E-01 2.65787751E-03 1.32196583E-04 1.43082347E-04 18.5759 7.55199671E+00 5.01243174E-02 6.01064153E-02 9.41546381E-01 2.06523061E-01 1.66974694E-01 4.20496799E-04 9.76018418E-05 7.53458880E-05 5.58089 - - - - - - - - - - - - - - - - - - - - C 0.0 2650.0
4U1630-47 80117-01-08-00 4.96007824E+00 6.19949162E-01 7.06346810E-01 7.43794870E+00 1.10092998E+00 1.12397873E+00 1.59158988E-03 4.11147717E-04 4.43599711E-04 3.5879 1.14513721E+01 3.46584208E-02 3.50269675E-02 1.00495577E+00 1.15274519E-01 1.11375585E-01 6.15992583E-04 4.70999003E-05 5.13496161E-05 11.9961 - - - - - - - - - - - - - - - - - - - - C 0.0 1425.0
4U1630-47 80117-01-12-01 2.75721622E+00 4.12360907E-01 4.85821128E-01 8.96285629E+00 8.35766196E-01 7.79945731E-01 2.70312512E-03 1.68634870E-04 1.64275378E-04 16.4548 1.16079741E+01 6.50550574E-02 6.29325137E-02 1.25529850E+00 1.96790934E-01 1.76169232E-01 5.70909004E-04 6.62991224E-05 6.41509832E-05 8.89946 - - - - - - - - - - - - - - - - - - - - C 0.0 1472.0
4U1630-47 30178-01-08-00 5.45957851E+00 7.97114745E-02 8.24680105E-02 4.72715664E+00 2.82062173E-01 2.74021983E-01 4.41694027E-03 1.69992854E-04 1.72559507E-04 25.5966 1.31435156E+01 1.18187450E-01 1.05327651E-01 1.25891006E+00 3.83514613E-01 3.13754201E-01 2.53206468E-04 5.34148894E-05 4.86249373E-05 5.20734 - - - - - - - - - - - - - - - - - - - - - 0.0 1430.0
4U1630-47 30178-02-03-00 5.65704203E+00 3.73420566E-02 3.70584726E-02 4.35656261E+00 1.23980567E-01 1.23875342E-01 3.83845274E-03 8.77761413E-05 9.03732871E-05 42.4733 1.31528978E+01 8.59314874E-02 8.97799507E-02 2.13083053E+00 2.33895987E-01 2.09784016E-01 3.28531634E-04 2.94039146E-05 2.74222057E-05 11.9805 - - - - - - - - - - - - - - - - - - - - - 0.0 9552.0
4U1630-47 30188-02-06-00 5.70842505E+00 7.59539604E-02 7.53399283E-02 4.47967052E+00 2.41847128E-01 2.45112583E-01 4.11524205E-03 2.09326652E-04 2.30505786E-04 17.8531 1.33912601E+01 9.41318423E-02 1.03230208E-01 1.57016706E+00 2.94081956E-01 2.45235398E-01 3.52936011E-04 4.76464411E-05 4.37755261E-05 8.0624 - - - - - - - - - - - - - - - - - - - - - 0.0 2406.0
4U1630-47 30188-02-07-00 5.39556742E+00 7.31030405E-02 7.66603202E-02 5.21320248E+00 2.45284751E-01 2.30292514E-01 4.90949908E-03 1.47443279E-04 1.43513433E-04 34.2093 1.34806452E+01 1.05606630E-01 1.09975696E-01 1.66462755E+00 3.29684198E-01 2.82127440E-01 3.72270588E-04 5.48680619E-05 5.14871135E-05 7.23036 - - - - - - - - - - - - - - - - - - - - - 0.0 1986.0
