Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP QPO0_IP_pos_err QPO0_IP_neg_err Sig. QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. Type 1st_time last_time
4U1630-47 30178-01-07-00 4.74365902E+00 7.16421008E-02 6.56242594E-02 5.63351393E-01 1.51717186E-01 1.21455707E-01 2.39626519E-04 5.46456868E-05 4.92383151E-05 4.86667 6.98742723E+00 3.72407734E-02 3.60966362E-02 1.04748631E+00 9.84368324E-02 9.20274407E-02 1.19321956E-03 8.68290299E-05 8.55075778E-05 13.9545 1.45703058E+01 1.60399050E-01 2.01454461E-01 1.51637638E+00 6.16345525E-01 4.34800595E-01 2.52640573E-04 6.61208178E-05 5.60652843E-05 4.50619 - - - - - - - - - - - 0.0 1408.0
4U1630-47 30178-01-10-00 4.70990133E+00 8.16628188E-02 8.87683779E-02 2.40978169E+00 5.92247009E-01 4.07907069E-01 1.55061507E-03 3.59687692E-04 2.54389655E-04 6.09543 7.17795992E+00 7.62618855E-02 7.20811039E-02 1.93844581E+00 2.31459498E-01 2.17377022E-01 1.18771836E-03 1.47317623E-04 1.68417260E-04 7.05224 1.32377586E+01 1.72375739E-01 2.01500595E-01 3.74488544E+00 6.00749671E-01 5.23036957E-01 7.78591610E-04 8.24693707E-05 7.65990626E-05 10.1645 - - - - - - - - - - - 0.0 1917.0
4U1630-47 30178-02-02-01 5.51559019E+00 1.15319364E-01 1.18966691E-01 1.25047266E+00 4.93195653E-01 3.91613185E-01 4.53433488E-04 2.84986396E-04 1.87814221E-04 2.41427 - - - - - - - - - - 1.32097511E+01 1.13269255E-01 1.18920028E-01 1.45595574E+00 2.80381501E-01 2.35506549E-01 2.76563660E-04 4.48129722E-05 3.98457560E-05 6.94086 - - - - - - - - - - - 48.0 2888.0
4U1630-47 30178-02-02-01-2 4.71439409E+00 6.42655641E-02 7.66946748E-02 8.44553113E-01 3.14808488E-01 2.28847742E-01 3.34133132E-04 1.47614657E-04 1.00739475E-04 3.3168 6.73575163E+00 8.92375410E-02 1.05894856E-01 3.49432254E+00 3.71872246E-01 3.49175334E-01 2.28413893E-03 3.56089382E-04 3.43829946E-04 6.64322 1.36765871E+01 8.62762034E-02 8.84838104E-02 1.91147745E+00 2.62948602E-01 2.31846243E-01 4.56682232E-04 5.34547180E-05 4.93737352E-05 9.2495 - - - - - - - - - - - 5329.0 8641.0
4U1630-47 30178-02-03-00-2 4.59552574E+00 5.55902012E-02 5.58409318E-02 1.32499719E+00 1.68901280E-01 1.50764212E-01 7.08734791E-04 8.75526894E-05 8.17325708E-05 8.67139 7.12736177E+00 3.62087935E-02 3.55756320E-02 1.92133367E+00 1.39738113E-01 1.27693996E-01 1.51568942E-03 7.72332642E-05 7.42491175E-05 20.4136 1.33126135E+01 1.48293167E-01 1.66362450E-01 3.33447742E+00 4.54911560E-01 4.05574352E-01 6.20497274E-04 6.08649716E-05 5.77390783E-05 10.7466 - - - - - - - - - - - 12304.0 15325.0
4U1630-47 30188-02-05-00 4.93155003E+00 6.31763488E-02 6.08825497E-02 5.06297350E-01 1.52315289E-01 1.13993958E-01 2.18119836E-04 6.78836077E-05 5.70901357E-05 3.82062 7.00466633E+00 3.06813326E-02 3.04894075E-02 1.61418831E+00 1.13727815E-01 1.14861339E-01 1.70582056E-03 1.01117221E-04 1.10487192E-04 15.4391 1.38217001E+01 9.97625366E-02 1.02939069E-01 2.40657496E+00 3.18009585E-01 3.00609857E-01 6.18522463E-04 6.54898904E-05 6.81568927E-05 9.07498 3.76531863E+00 1.43806130E-01 1.26331449E-01 1.49070501E+00 3.73513758E-01 3.44696850E-01 5.32761798E-04 1.73458204E-04 1.49321815E-04 3.56788 - 0.0 2526.0
4U1630-47 30188-02-08-00 4.26140690E+00 9.70965922E-02 1.06996536E-01 1.05759454E+00 4.30186868E-01 3.84288430E-01 2.92323384E-04 1.49001891E-04 1.12535512E-04 2.59761 6.87737608E+00 2.82803122E-02 2.80076750E-02 1.21862221E+00 8.86401907E-02 9.56662893E-02 1.41076662E-03 8.90681404E-05 1.04686929E-04 13.4761 1.34636183E+01 2.67481893E-01 2.47733891E-01 4.74674463E+00 1.03399742E+00 9.59002793E-01 5.72752208E-04 1.09930392E-04 1.19783115E-04 4.78158 - - - - - - - - - - - 0.0 2043.0
4U1630-47 30188-02-09-00 4.77333260E+00 1.06129803E-01 1.26968250E-01 1.85128820E+00 6.99671924E-01 4.07349795E-01 9.71894013E-04 3.83851060E-04 2.23097290E-04 4.35637 7.01129484E+00 9.23759267E-02 9.02335644E-02 2.53616071E+00 3.27000678E-01 3.00529271E-01 1.73954654E-03 1.95702683E-04 2.01490839E-04 8.63338 1.34284620E+01 1.57167763E-01 1.76672354E-01 2.93452954E+00 5.71392179E-01 4.45321500E-01 6.05181791E-04 9.05187408E-05 7.64825163E-05 7.91268 - - - - - - - - - - - 0.0 1561.0
4U1630-47 30188-02-11-00 4.85937452E+00 5.09425029E-02 5.41327521E-02 1.41393971E+00 1.95506752E-01 1.73324317E-01 8.86334048E-04 1.22320227E-04 1.13058093E-04 7.83963 7.04939508E+00 7.56932124E-02 8.38617384E-02 2.82179213E+00 2.68528193E-01 2.31397778E-01 1.58402510E-03 1.37967145E-04 1.20112054E-04 13.1879 1.35025015E+01 7.72500411E-02 7.94335231E-02 1.78138745E+00 2.23252669E-01 2.02382773E-01 4.36009112E-04 3.99891942E-05 3.90304776E-05 11.171 - - - - - - - - - - - 0.0 3184.0
4U1630-47 30188-02-16-00 4.35525608E+00 1.35092348E-01 1.11821145E-01 9.17524815E-01 5.49735963E-01 6.52325749E-01 2.34675375E-04 1.22568861E-04 1.31690060E-04 1.78203 7.02538967E+00 4.84940261E-02 4.81137037E-02 1.36252391E+00 1.38336822E-01 1.25205204E-01 1.17491593E-03 8.84733308E-05 8.79646250E-05 13.3567 1.32416687E+01 2.33518928E-01 2.88512111E-01 2.00557256E+00 1.31823945E+00 7.99224377E-01 2.17659064E-04 8.39264976E-05 7.03103142E-05 3.09569 - - - - - - - - - - - 0.0 896.0
