Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
XTEJ1550-564 30188-06-01-00 - - - - - - - - - - 2.87806034E-01 1.93219050E-03 1.95302954E-03 3.73222902E-02 5.64994104E-03 5.87127870E-03 2.44831052E-02 2.12367671E-03 2.18353490E-03 11.2126 5.85833609E-01 7.37900985E-03 6.19298499E-03 6.11657947E-02 2.10768636E-02 2.21858043E-02 3.41174449E-03 8.87264789E-04 7.40791031E-04 4.60554 - - - - - - - - - - C 0.0 3360.0
XTEJ1550-564 30188-06-01-01 - - - - - - - - - - 3.92651469E-01 1.97572634E-03 1.67290564E-03 3.49224545E-02 6.97683822E-03 6.99033961E-03 2.05499791E-02 1.98213710E-03 1.84242288E-03 11.1538 7.76049376E-01 6.88892417E-03 6.07684068E-03 6.52286485E-02 2.45380532E-02 1.68337133E-02 3.12831299E-03 6.71669375E-04 5.83821093E-04 5.35834 - - - - - - - - - - C 0.0 2147.0
XTEJ1550-564 30188-06-01-02 - - - - - - - - - - 8.09722841E-01 3.32090980E-03 3.19040962E-03 9.25835669E-02 6.38272148E-03 5.59375342E-03 2.08181627E-02 1.07994629E-03 1.02086482E-03 20.3927 1.63589656E+00 1.23296846E-02 1.10624898E-02 2.18399152E-01 3.94942537E-02 3.23932990E-02 3.29790381E-03 4.34102316E-04 3.80934711E-04 8.6574 - - - - - - - - - - C 0.0 2844.0
XTEJ1550-564 30188-06-01-03 - - - - - - - - - - 1.03289437E+00 2.79608555E-03 2.69445358E-03 1.06503971E-01 8.79220944E-03 7.69741368E-03 2.36680638E-02 1.14428287E-03 9.98380710E-04 23.7065 2.07919908E+00 1.06113255E-02 1.00093987E-02 2.91568249E-01 4.59178202E-02 3.01254373E-02 4.25605755E-03 3.70385475E-04 2.93847290E-04 14.4839 - - - - - - - - - - C 0.0 2512.0
XTEJ1550-564 30188-06-04-00 - - - - - - - - - - 1.54020059E+00 3.35754594E-03 3.26533569E-03 1.74012914E-01 9.66437440E-03 8.94765183E-03 2.37556882E-02 7.61434669E-04 7.59407820E-04 31.2819 3.04908442E+00 1.29183102E-02 1.28941564E-02 4.96740282E-01 5.18651307E-02 5.24672829E-02 4.41073021E-03 3.12949822E-04 3.77000455E-04 11.6995 - - - - - - - - - - C 0.0 3133.0
XTEJ1550-564 30188-06-05-00 - - - - - - - - - - 2.39790487E+00 4.37901681E-03 4.25071782E-03 2.50391930E-01 1.57769211E-02 1.45365428E-02 2.04894803E-02 6.40590326E-04 6.26831898E-04 32.6874 4.68872356E+00 1.56659167E-02 1.58939082E-02 8.43062341E-01 7.65595287E-02 6.56315982E-02 4.68098512E-03 2.29934842E-04 2.15713226E-04 21.7 6.96174622E+00 1.50063977E-01 1.62756950E-01 3.65129924E+00 3.27505767E-01 3.32056075E-01 2.59564980E-03 3.01410619E-04 2.80827691E-04 9.24286 C 0.0 2411.0
XTEJ1550-564 30188-06-06-00 1.67663968E+00 3.20508517E-02 3.10881268E-02 4.81668532E-01 1.02235064E-01 9.22275558E-02 1.14698440E-03 2.41190515E-04 2.26487318E-04 5.06423 3.33227086E+00 4.84916056E-03 4.61110938E-03 2.84146428E-01 1.14635332E-02 9.71973035E-03 1.78065952E-02 4.70494211E-04 4.36829898E-04 40.7632 6.58692884E+00 1.42439213E-02 1.39418440E-02 5.50526202E-01 4.02905010E-02 3.73032838E-02 1.81544293E-03 1.01578698E-04 9.76339870E-05 18.5944 - - - - - - - - - - C 0.0 2737.0
XTEJ1550-564 30188-06-07-00 1.58607984E+00 4.85380627E-02 5.85887022E-02 7.58434355E-01 2.00388074E-01 1.72763765E-01 1.42511248E-03 4.99318819E-04 3.89701338E-04 3.65694 3.18770361E+00 4.00747312E-03 3.86184547E-03 2.72384793E-01 9.29281674E-03 8.49241670E-03 1.88721437E-02 4.25111299E-04 4.14425856E-04 45.538 6.31037045E+00 1.22758383E-02 1.22575061E-02 5.64592719E-01 3.45061794E-02 3.21537480E-02 2.06049671E-03 9.84944199E-05 9.41712569E-05 21.8803 - - - - - - - - - - C 0.0 3522.0
XTEJ1550-564 30188-06-08-00 - - - - - - - - - - 3.17484474E+00 4.33298294E-03 4.46357438E-03 2.39670262E-01 9.86360759E-03 1.00418003E-02 1.85956359E-02 4.89716709E-04 5.01847011E-04 37.0544 6.28992319E+00 1.20527856E-02 1.20465662E-02 4.05259609E-01 2.68185493E-02 2.61956211E-02 1.83281873E-03 9.58433666E-05 9.61530604E-05 19.0615 - - - - - - - - - - C 0.0 2729.0
XTEJ1550-564 30188-06-09-00 1.77070248E+00 6.19105063E-02 5.06678708E-02 1.00800574E+00 1.49367198E-01 1.63852185E-01 1.90624560E-03 3.93788156E-04 4.39935655E-04 4.33301 3.66042066E+00 4.30735294E-03 4.12871595E-03 2.87860781E-01 1.06021836E-02 9.68836434E-03 1.75311770E-02 3.96504445E-04 3.94379778E-04 44.4525 7.24409533E+00 1.14530670E-02 1.14977304E-02 5.32932699E-01 3.14336196E-02 3.02831940E-02 1.68264390E-03 7.34852438E-05 7.41474432E-05 22.6932 - - - - - - - - - - C 0.0 3355.0
