Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
GRO1655-40 20402-02-25-00 - - - - - - - - - - 6.43324995E+00 1.20190922E-02 1.24392891E-02 6.19150281E-01 4.12227027E-02 3.70517150E-02 9.28712543E-03 5.62973728E-04 5.14100189E-04 18.0648 1.34242687E+01 2.66246885E-01 2.86328912E-01 5.78314447E+00 1.16397047E+00 9.59260046E-01 5.34278201E-03 1.27103599E-03 1.06211996E-03 5.0303 - - - - - - - - - - C 0.0 2794.0
GRO1655-40 90704-04-01-00 - - - - - - - - - - 2.31586504E+00 4.19792114E-03 4.14443994E-03 2.93113053E-01 1.25621893E-02 1.02834003E-02 4.05373871E-02 1.07263681E-03 9.90272500E-04 40.9356 4.72075653E+00 4.73829322E-02 3.78814340E-02 9.94533658E-01 3.61342698E-01 2.24814668E-01 3.14074475E-03 7.91382859E-04 5.00988564E-04 6.26909 - - - - - - - - - - C 0.0 3185.6
GRO1655-40 90704-04-01-01 - - - - - - - - - - 2.04291868E+00 4.41076607E-03 4.22480237E-03 2.69019455E-01 1.27413748E-02 1.14546390E-02 4.21482921E-02 1.24275428E-03 1.13172724E-03 37.2424 4.16589069E+00 4.95096967E-02 4.35725302E-02 9.54981387E-01 2.17609018E-01 1.61434725E-01 3.30634508E-03 6.52550778E-04 4.96553024E-04 6.65859 - - - - - - - - - - C 0.0 3200.0
GRO1655-40 91702-01-01-00 - - - - - - - - - - 4.90806907E-01 2.80944491E-03 2.72104633E-03 9.65273082E-02 9.64950398E-03 8.52872711E-03 2.52557341E-02 1.55949709E-03 1.52798241E-03 16.5288 1.02601624E+00 9.75705683E-03 1.45183755E-02 5.30307293E-02 3.01666074E-02 fixed 9.67431988E-04 4.08823224E-04 3.41174949E-04 2.83559 - - - - - - - - - - C 0.0 7200.0
GRO1655-40 91702-01-01-03 - - - - - - - - - - 8.89923275E-01 5.13394224E-03 4.96409182E-03 1.65717840E-01 1.43373031E-02 1.25957225E-02 3.05963419E-02 1.77387870E-03 1.70422415E-03 17.9532 1.84163415E+00 3.76109742E-02 4.19522747E-02 1.86584592E-01 1.55020535E-01 1.03338964E-01 1.02731097E-03 7.81928422E-04 4.92530002E-04 2.08578 - - - - - - - - - - C 0.0 1664.0
GRO1655-40 91702-01-01-04 - - - - - - - - - - 1.35157478E+00 4.33103740E-03 4.23280569E-03 1.94605216E-01 9.08930227E-03 8.67243856E-03 3.34249139E-02 1.11037621E-03 1.11601048E-03 29.9504 2.78539801E+00 2.71608047E-02 1.81191210E-02 1.96328044E-01 8.64960775E-02 9.66486707E-02 9.94882314E-04 2.31241167E-04 1.95761779E-04 5.08211 - - - - - - - - - - C 0.0 3184.0
GRO1655-40 91702-01-01-05 - - - - - - - - - - 1.52862918E+00 5.68090891E-03 5.57282940E-03 2.39561230E-01 1.78146698E-02 1.70465745E-02 4.06921990E-02 1.80194946E-03 1.85159734E-03 21.9768 3.23575854E+00 5.43389730E-02 5.57693541E-02 6.20273769E-01 3.13461334E-01 1.90487400E-01 2.56834389E-03 1.17502455E-03 7.54920533E-04 3.40214 - - - - - - - - - - C 0.0 1392.0
GRO1655-40 91702-01-71-03 - - - - - - - - - - 9.84916306E+00 2.05731057E-02 1.99260488E-02 5.19766688E-01 5.95899001E-02 6.31038845E-02 4.96661197E-03 4.01756814E-04 4.95084329E-04 10.0319 2.02514954E+01 2.96473265E-01 2.46494487E-01 3.83876848E+00 1.23084474E+00 1.13885725E+00 3.55256977E-03 7.51641113E-04 8.44730414E-04 4.20557 - - - - - - - - - - C 0.0 1137.0
GRO1655-40 91702-01-71-04 - - - - - - - - - - 1.03937988E+01 2.37437710E-02 2.35643573E-02 5.50980031E-01 6.43781051E-02 5.65580502E-02 4.26821643E-03 3.98404489E-04 3.95529903E-04 10.7911 2.03432655E+01 1.87719196E-01 2.09249943E-01 2.77586317E+00 8.64685655E-01 6.04771793E-01 2.81989342E-03 5.39544038E-04 4.70292987E-04 5.99604 - - - - - - - - - - C 0.0 1312.0
GRO1655-40 91702-01-76-01 - - - - - - - - - - 1.27343369E+01 8.20393413E-02 8.04168507E-02 1.31692028E+00 4.31763351E-01 3.39895874E-01 2.75834650E-03 5.40666748E-04 4.99602058E-04 5.52109 2.52711735E+01 2.30273068E-01 2.60309190E-01 1.70168769E+00 9.19906020E-01 6.66164875E-01 1.25707022E-03 3.94979259E-04 3.51899886E-04 3.57224 - - - - - - - - - - C 0.0 896.0
