Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
GX339-4 60705-01-69-01 - - - - - - - - - - 1.44321907E+00 2.36712955E-02 2.53134686E-02 1.95827961E-01 8.22223574E-02 5.29459976E-02 2.32066913E-03 7.16587645E-04 5.99234423E-04 3.87272 2.76773000E+00 1.33164246E-02 1.98367573E-02 7.83610940E-02 7.14528114E-02 7.48477727E-02 5.23761148E-04 2.09360194E-04 1.86980120E-04 2.80116 - - - - - - - - - - C 0.0 920.0
GX339-4 60705-01-70-00 - - - - - - - - - - 4.31171608E+00 2.58452632E-02 2.29596868E-02 2.66784459E-01 6.29475564E-02 6.33117557E-02 2.08964315E-03 3.50439455E-04 3.39396443E-04 6.15694 8.80058861E+00 2.73420036E-01 1.51783779E-01 1.39437199E+00 1.13968289E+00 6.39281213E-01 1.27914059E-03 7.46021164E-04 4.76292043E-04 2.68562 - - - - - - - - - - C 0.0 864.0
GX339-4 60705-01-84-02 - - - - - - - - - - 4.97006607E+00 1.47534851E-02 1.48390047E-02 6.92499757E-01 2.16323994E-02 2.08266415E-02 5.72151225E-03 1.40986740E-04 1.40963632E-04 40.5886 9.60161018E+00 7.56684169E-02 7.39383772E-02 1.48659909E+00 1.86371967E-01 1.65008679E-01 8.40269553E-04 7.20753160E-05 7.02362595E-05 11.9635 - - - - - - - - - - B 0.0 1648.0
GX339-4 70108-03-02-00 - - - - - - - - - - 5.31388521E+00 1.10004395E-02 1.07791852E-02 5.08349657E-01 1.76095385E-02 1.69882793E-02 6.85923500E-03 1.80775882E-04 1.81415962E-04 37.8094 1.05560493E+01 8.62003043E-02 8.83158669E-02 1.32372177E+00 2.39623100E-01 2.02515408E-01 6.54911855E-04 7.70184342E-05 7.43146884E-05 8.81268 - - - - - - - - - - B 5648.0 7184.0
GX339-4 70109-01-07-00 - - - - - - - - - - 5.90077400E+00 7.57887773E-03 7.60251377E-03 5.19764662E-01 9.72958002E-03 9.50551778E-03 4.20128042E-03 6.64112813E-05 6.54617106E-05 64.1792 1.15130749E+01 5.41498065E-02 5.37697636E-02 1.48229241E+00 1.49130180E-01 1.33641437E-01 3.30152136E-04 2.18564601E-05 2.13313033E-05 15.4774 - - - - - - - - - - B 4178.0 7634.0
GX339-4 70109-04-01-00 2.82651377E+00 3.51857059E-02 3.69077921E-02 4.69052047E-01 1.09003350E-01 9.28269103E-02 6.42657513E-04 1.35303082E-04 1.23381367E-04 5.20871 5.56510353E+00 1.45541588E-02 1.42030874E-02 1.08112299E+00 6.30927384E-02 6.19815700E-02 4.94662998E-03 1.84432778E-04 1.86622827E-04 26.506 1.12658653E+01 7.78111219E-02 7.88970217E-02 2.45120955E+00 3.69147569E-01 3.08099687E-01 9.35443502E-04 1.16107942E-04 1.00109341E-04 9.34422 - - - - - - - - - - C 5696.0 8064.0
GX339-4 70109-04-01-00-2 2.66779661E+00 4.31370735E-02 4.40621637E-02 7.46371806E-01 1.46546245E-01 1.32835463E-01 9.76226467E-04 1.95370594E-04 1.80454881E-04 5.40981 5.36264849E+00 9.45955981E-03 9.06068645E-03 6.06271029E-01 3.77489030E-02 3.63503546E-02 4.15706169E-03 1.59513933E-04 1.62205281E-04 25.6284 1.10383511E+01 8.37854743E-02 8.09289888E-02 1.78272748E+00 2.45235696E-01 2.18396768E-01 6.42508268E-04 7.94752268E-05 7.39279349E-05 8.69101 - - - - - - - - - - C 0.0 2833.0
GX339-4 70109-04-01-01 2.69277930E+00 3.83695140E-02 3.36730890E-02 7.60463297E-01 1.43045992E-01 1.15747325E-01 1.14655343E-03 2.32105929E-04 1.85478115E-04 6.18161 5.40659380E+00 8.78819637E-03 9.11394786E-03 5.77629685E-01 3.19659039E-02 2.82086786E-02 3.81930242E-03 1.49327185E-04 1.34223752E-04 28.4547 1.10824480E+01 9.19083729E-02 7.14263842E-02 1.79085600E+00 3.13004017E-01 2.39050567E-01 7.16002483E-04 9.64830251E-05 8.05177842E-05 8.89248 - - - - - - - - - - C 17066.0 20614.0
GX339-4 70109-04-01-01-2 2.66080642E+00 3.31563577E-02 3.43897827E-02 7.32027173E-01 1.34585336E-01 1.16926484E-01 1.03406061E-03 2.02504947E-04 1.74088622E-04 5.93985 5.40825987E+00 9.76783503E-03 9.32550244E-03 6.65725052E-01 3.24770771E-02 3.28848846E-02 3.99487652E-03 1.36359085E-04 1.44590085E-04 27.629 1.09852371E+01 4.46603335E-02 4.31752689E-02 1.29518902E+00 1.48557007E-01 1.33023188E-01 6.36864977E-04 5.87784452E-05 5.56975356E-05 11.4343 - - - - - - - - - - C 22762.0 26314.0
GX339-4 70109-04-01-01-3 2.71181464E+00 2.92122252E-02 2.69952565E-02 7.72457600E-01 1.30892292E-01 9.92991775E-02 9.81757534E-04 1.82826334E-04 1.33784866E-04 7.33833 5.50235939E+00 7.18226656E-03 7.06397649E-03 6.82656109E-01 2.74939202E-02 2.47317832E-02 3.85378022E-03 1.12528091E-04 1.00760073E-04 38.2471 1.12962084E+01 5.79835549E-02 5.40491343E-02 2.09013295E+00 2.02858776E-01 1.91294655E-01 7.43575278E-04 6.17613332E-05 5.93593977E-05 12.5267 - - - - - - - - - - C 5674.0 14907.0
GX339-4 70109-04-01-01-4 2.61850500E+00 3.37805636E-02 3.35160494E-02 7.87938356E-01 1.64801121E-01 1.28449604E-01 1.23950676E-03 2.83316651E-04 2.08199417E-04 5.95346 5.34890270E+00 9.36390553E-03 9.18613002E-03 6.51295781E-01 3.75989303E-02 3.13571915E-02 4.17410163E-03 1.64809200E-04 1.40049582E-04 29.8045 1.08824587E+01 5.41442260E-02 5.20539880E-02 1.62580156E+00 1.95824221E-01 1.77120104E-01 7.17131828E-04 7.27486331E-05 6.94116679E-05 10.3316 - - - - - - - - - - C 0.0 3519.0
GX339-4 70109-04-01-02 2.70347953E+00 5.26455902E-02 5.10743372E-02 5.20967364E-01 1.62527516E-01 1.17471084E-01 8.26227246E-04 2.53763719E-04 1.89356622E-04 4.36334 5.34918737E+00 1.89742185E-02 1.88734978E-02 9.10732031E-01 8.30422640E-02 6.55168965E-02 5.12994733E-03 3.09462223E-04 2.48055265E-04 20.6807 1.06438532E+01 9.13365632E-02 8.25278684E-02 1.92025971E+00 4.95416999E-01 3.63935113E-01 1.07960426E-03 1.95945235E-04 1.49068946E-04 7.24231 - - - - - - - - - - C 0.0 1136.0
GX339-4 70110-01-10-00 - - - - - - - - - - 2.06321049E+00 1.23710465E-02 1.20368432E-02 2.04619050E-01 2.76555754E-02 2.43771952E-02 3.75025719E-03 3.49807873E-04 3.48082918E-04 10.774 4.21138954E+00 6.34666309E-02 6.46786615E-02 4.10030931E-01 1.05680600E-01 9.64229107E-02 7.98857189E-04 1.67788778E-04 1.58927520E-04 5.02655 - - - - - - - - - - C 0.0 1040.0
GX339-4 70110-01-11-00 2.97851229E+00 8.39065015E-02 7.99444690E-02 9.56036627E-01 3.45217079E-01 2.55794555E-01 1.11963181E-03 5.16471046E-04 3.45380744E-04 3.24173 5.78540707E+00 1.96529515E-02 1.99155249E-02 7.60428488E-01 9.69579220E-02 7.66843036E-02 3.78475850E-03 3.23354092E-04 2.65467592E-04 14.257 1.18038921E+01 1.58521146E-01 1.34742290E-01 1.79807580E+00 5.45499086E-01 4.18805659E-01 4.96611814E-04 1.21887264E-04 1.03367020E-04 4.80435 - - - - - - - - - - C 0.0 912.0
GX339-4 70110-01-15-00 2.92097473E+00 5.09571768E-02 4.41698097E-02 3.70711297E-01 1.78827405E-01 2.35653639E-01 2.06521188E-04 7.44034041E-05 8.28433767E-05 2.49291 5.81290150E+00 1.52375614E-02 1.58343855E-02 7.76362419E-01 3.63956913E-02 3.48931402E-02 5.02472557E-03 1.56086346E-04 1.58844690E-04 31.6329 1.10106869E+01 3.31676275E-01 6.29169881E-01 4.09036541E+00 1.48845494E+00 9.39152479E-01 6.91082620E-04 1.49164771E-04 1.04556260E-04 6.60967 - - - - - - - - - - B 0.0 880.0
